index,company,car_type,wheel-base,length,engine-type,num-of-cylinders,egine_capacity,average-km,price,,,,,
0,Honda,Convertible,88.6,168.8,dohc,four,7.4,33.79614,87717.5,,,,,
1,Honda,Convertible,88.6,168.8,dohc,four,7.4,33.79614,107250,,,,,
2,Honda,Four Wheel Drive,94.5,171.2,ohcv,six,10.3,30.57746,107250,,,,,
3,Hyundai,Salon car,99.8,176.6,ohc,four,6.8,38.62416,90675,,,,,
4,Hyundai,Salon car,99.4,176.6,ohc,five,7.7,28.96812,113425,,,,,
5,Hyundai,Salon car,99.8,177.3,ohc,five,7.3,30.57746,99125,,,,,
6,Hyundai,Wagon,105.8,192.7,ohc,five,7.3,30.57746,122980,,,,,
9,Bmw,Salon car,101.2,176.8,ohc,four,6.7,37.01482,106795,,,,,
10,Bmw,Salon car,101.2,176.8,ohc,four,6.7,37.01482,110012.5,,,,,
11,Bmw,Salon car,101.2,176.8,ohc,six,8.1,33.79614,136305,,,,,
13,Bmw,Salon car,103.5,189,ohc,six,12.1,25.74944,199940,,,,,
14,Bmw,Salon car,103.5,193.8,ohc,six,12.1,25.74944,268547.5,,,,,
15,Bmw,Salon car,110,197,ohc,six,12.1,24.1401,239720,,,,,
16,Kantaka,Four Wheel Drive,88.4,141.1,l,three,3.2,75.63898,33481.5,,,,,
17,Kantaka,Four Wheel Drive,94.5,155.9,ohc,four,4.7,61.15492,40917.5,,,,,
18,Kantaka,Salon car,94.5,158.8,ohc,four,4.7,61.15492,42737.5,,,,,
19,Kantaka,Four Wheel Drive,93.7,157.3,ohc,four,4.5,49.88954,41450.5,,,,,
20,Kantaka,Four Wheel Drive,93.7,157.3,ohc,four,4.5,49.88954,40488.5,,,,,
27,Kantaka,Wagon,96.5,157.1,ohc,four,5.1,48.2802,47417.5,,,,,
28,Kantaka,Salon car,96.5,175.4,ohc,four,6.7,38.62416,84142.5,,,,,
29,Kantaka,Salon car,96.5,169.1,ohc,four,6.7,40.2335,67242.5,,,,,
